Input3	Output
-0.977004904	-0.594332898
-0.972582489	-0.580484514
-0.794773613	-0.575068374
-0.76042455	-0.470542854
-0.445099635	-0.521991893
-0.580974162	-0.611565858
-0.592043605	-0.717457927
-0.265059313	-0.617468136
-0.719866682	-0.635680504
-0.71502828	-0.66787395
-0.261743316	-0.507962814
-0.794037993	-0.51491986
-0.870860879	-0.752672479
-0.692357732	-0.585970152
-0.769696491	-0.62045013
-0.855585496	-0.626477288
-0.558474157	-0.664543188
-0.782954425	-0.605743989
-0.829454901	-0.740608448
-0.863107884	-0.706337216
-0.797271715	-0.594332898
-0.833364608	-0.536496625
-0.77886733	-0.605743989
-0.771013982	-0.691946446
-0.809912747	-0.844902662
-0.881795603	-0.914041256
-0.76676134	-0.872321951
-0.665544991	-0.833129912
-0.75663741	-0.912996079
-0.595706048	-0.819275922
-0.695441524	-0.871462868
-0.790324924	-0.876670285
-0.839566126	-0.924786288
-0.646425461	-0.851823282
-0.164919308	-0.79520877
-0.587004893	-0.893105672
-0.760960543	-0.869755059
-0.726914431	-0.853392305
-0.575957639	-0.80817098
-0.91114117	-0.874920252
-0.72642747	-0.864712521
-0.801977263	-0.526772369
-0.802968937	-0.591527098
-0.959387217	-0.654703985
-0.785965939	-0.632590685
-0.626686306	-0.548971301
-0.820251259	-0.638792832
-0.913325562	-0.602862528
-0.603704042	-0.492156481
-0.602692327	-0.638792832
-0.489007905	-0.561820787
-0.338895287	-0.664543188
-0.674285829	-0.583218535
-0.415945746	-0.614506807
-0.797230276	-0.577767867
-0.637486993	-0.551510498
-0.506797089	-0.531606867
-0.48601711	-0.479057806
-0.487403913	-0.505668709
-0.709297814	-0.626477288
-0.79633652	-0.561820787
-0.938512097	-0.572385817
-0.85748629	-0.564437673
-0.569736295	-0.626477288
-0.817504375	-0.575068374
-0.843636865	-0.674614441
-0.816153216	-0.90886609
-0.918355819	-0.887484654
-0.99557736	-0.912996079
-0.938324026	-0.892158439
-0.887201961	-0.894057149
-0.858146384	-0.901826509
-0.716226552	-0.901826509
-0.731847454	-0.882008626
-0.424812142	-0.847184574
-0.63370429	-0.903814108
-0.637965729	-0.950535043
-0.397579166	-0.87932268
-0.387855499	-0.864712521
-0.214253925	-0.875793466
-0.580216751	-0.906830845
-0.415386023	-0.797617584
-0.780440037	-0.868060874
-0.598799189	-0.883818321
-0.32092957	-0.84642121
-0.356947228	-0.852606345
-0.274424339	-0.853392305
-0.659929647	-0.856565558
0.012166889	-0.792826948
-0.722647661	-0.874920252
-0.884820858	-0.611565858
-0.807387121	-0.556634572
-0.873841443	-0.674614441
-0.716546282	-0.635680504
-0.963993528	-0.575068374
-0.874545336	-0.632590685
-0.576901584	-0.638792832
-0.756338614	-0.645086352
-0.912300554	-0.688423299
-0.506086194	-0.614506807
-0.834056236	-0.531606867
-0.820070103	-0.635680504
-0.549524939	-0.472655768
-0.721575076	-0.531606867
-0.835217237	-0.556634572
-0.522002176	-0.614506807
-0.322846065	-0.494379101
-0.891471487	-0.526772369
-0.86279091	-0.835288182
-0.874936605	-0.863057935
-0.837577835	-0.806270131
-0.606260531	-0.854181185
-0.906953387	-0.866380098
-0.752033415	-0.869755059
-0.828241599	-0.883818321
-0.597437792	-0.876670285
-0.718438718	-0.864712521
-0.804480326	-0.905820495
-0.746872864	-0.946834359
-0.848119661	-0.89501291
-0.721539804	-0.901826509
-0.683383145	-0.870607247
-0.497806226	-0.865544673
-0.877447112	-0.924786288
-0.602666185	-0.898879576
-0.71456999	-0.842645002
-0.526919006	-0.88934184
-0.336256002	-0.89693744
-0.704828006	-0.910921039
-0.449803639	-0.84642121
-0.852297571	-0.927002158
0.380064509	-0.841153115
-0.434877716	-0.906830845
-0.104349399	-0.858977002
-0.727141343	-0.614506807
-0.703616423	-0.605743989
-0.55982959	-0.49885927
-0.365335051	-0.430336723
-0.484164984	-0.487745569
-0.292718561	-0.51491986
-0.838131147	-0.40247989
-0.786480097	-0.442007261
-0.931259937	-0.541442923
-0.946729685	-0.99997577
-0.779110041	-0.479057806
-0.750819168	-0.561820787
-0.817143262	-0.430336723
-0.068553316	-0.496613323
-0.843131486	-0.623453082
-0.70670289	-0.600000363
-0.790759393	-0.543937688
-0.723487452	-0.466348055
-0.683489279	-0.345331493
-0.694836041	-0.575068374
-0.707173077	-0.519621537
-0.839135611	-0.529182789
-0.778800232	-0.695498912
-0.894357378	-0.699081189
-0.805097215	-0.54644709
-0.949558461	-0.591527098
-0.843192003	-0.588739596
-0.930270128	-0.638792832
-0.955070816	-0.538962624
-0.854156211	-0.447963988
-0.738281586	-0.481213272
-0.773539434	-0.49885927
-0.387732323	-0.833846902
-0.284689139	-0.828177608
-0.274390519	-0.812024456
-0.544197451	-0.780183585
-0.221763115	-0.899857349
-0.503611793	-0.796409765
-0.096754932	-0.789303517
0.174189088	-0.871462868
-0.073267726	-0.775220477
0.861539086	-0.882911546
-0.020268194	-0.869755059
0.404547163	-0.813324633
0.039737254	-0.769838471
0.072580233	-0.818606377
-0.34154211	-0.761500936
0.493453722	-0.843394892
-0.444402788	-0.876670285
-0.17807255	-0.797012817
-0.210079145	-0.815289935
0.476148796	-0.7589611
-0.037548717	-0.788721915
-0.53591095	-0.801899831
-0.311613867	-0.89027656
-0.565250097	-0.840411083
-0.245792108	-0.893105672
-0.594779507	-0.556634572
-0.8277662	-0.51726424
-0.739194074	-0.496613323
-0.865375202	-0.548971301
-0.720766055	-0.354878746
-0.756450952	-0.451981672
-0.62478768	-0.404281711
-0.616433463	-0.456037406
-0.776083444	-0.485557042
-0.781727627	-0.464265967
-0.871854973	-0.390074909
-0.937888759	-0.503386836
-0.911188965	-0.645086352
-0.896129895	-0.512588254
-0.953839535	-0.602862528
-0.872634855	-0.629523052
-0.943117086	-0.406091141
-0.658327664	-0.274421402
-0.818719421	-0.510269284
-0.740205389	-0.442007261
-0.89369747	-0.538962624
-0.15007933	-0.801899831
-0.269731013	-0.785837535
-0.544040529	-0.819947583
1	-0.787563463
-0.447352753	-0.871462868
0.044363956	-0.851823282
0.440405334	-0.858170141
-0.012006773	-0.821297307
0.284565775	-0.77851631
-0.296104115	-0.786411289
-0.266968724	-0.79164597
0.287624478	-0.870607247
-0.29351699	-0.820621373
0.348924489	-0.990091875
0.443770822	-0.813324633
-0.267686058	-0.803139346
0.871394823	-0.835288182
-0.614496256	-0.559219818
-0.743749226	-0.372954067
0.018640618	-0.445969193
-0.46603034	-0.699081189
-0.052764566	-0.602862528
-0.065626681	-0.505668709
-0.848262185	-0.54644709
-0.791775969	-0.638792832
-0.971163232	-0.671230896
-0.792601619	-0.671230896
-0.740621475	-0.760908986
-0.759557059	-0.691946446
-0.810601763	-0.430336723
-1	-0.534044759
-0.747988972	-0.564437673
-0.834496299	-0.474779161
-0.909357408	-0.699081189
0.23216523	-0.758456752
-0.591436409	-0.784694652
-0.37670602	-0.84642121
-0.309258064	-0.813324633
-0.176887533	-0.806270131
-0.401428293	-0.839671633
0.011620938	-0.815289935
-0.02219045	-0.872321951
0.08787511	-0.836739306
-0.547889252	0.162143979
-0.834797829	0.10222556
-0.237267078	0.152533832
-0.62801432	0.173960039
-0.491479763	0.137846503
-0.665698914	0.227864441
-0.62360437	0.267578134
-0.488124659	0.150108903
-0.444574184	-0.277097518
0.049155531	-0.167519254
-0.276636659	-0.156228824
-0.46535404	-0.372954067
0.338429975	-0.208976134
-0.400488334	-0.258705875
-0.548751126	-0.294911241
-0.584352807	0.347606974
-0.467018159	0.146454443
-0.601964265	0.201471169
-0.714385358	0.263510173
-0.903781697	0.190149462
-0.848419998	0.221365947
-0.724562625	0.140317584
-0.820289013	0.09433128
-0.679070893	0.372236079
-0.503801101	0.305005145
-0.82290686	0.273632749
-0.731637419	-0.002577106
-0.61953516	0.09433128
-0.519336227	0.402591885
-0.507195468	0.027459221
-0.650836406	0.327579781
-0.768005119	0.145231703
-0.817733893	0.145231703
-0.796100198	0.132875939
-0.610159823	0.225705489
-0.821660545	0.050524715
-0.57904176	0.171613965
-0.685803014	0.180947835
-0.714982471	0.281618861
-0.621472137	0.178626913
-0.625106226	0.018593582
-0.282369189	-0.31938102
-0.137314174	-0.320864823
-0.491397172	-0.243545371
-0.506805892	-0.265184238
-0.110424942	-0.331397687
-0.667190278	-0.386595593
-0.541023257	-0.187747941
-0.524327582	-0.232516238
-0.691323651	-0.334455202
-0.344527166	-0.395347422
0.073263015	-0.23983743
-0.25480205	-0.226509162
-0.389857418	-0.254865268
-0.684011019	-0.274421402
-0.563380165	-0.176982686
0.270583562	-0.252323819
-0.190033353	-0.316428725
-0.209213369	-0.275757374
-0.349655338	-0.143256977
-0.102051539	-0.249797324
-0.575285993	-0.194338968
-0.59043942	-0.279790425
0.133002624	-0.38486647
0.172188345	-0.342195734
-0.678690438	-0.199909791
-0.37673453	-0.118431367
-0.597302856	-0.25999375
-0.156853386	-0.254865268
-0.871811712	0.32572819
-0.526481026	0.147674883
-0.610451356	0.225705489
-0.738211755	0.159754744
-0.769513514	0.244882632
-0.715522057	0.33126723
-0.842767602	0.373960154
-0.121528459	0.157356686
-0.868550337	0.072797784
-0.657696015	0.342205846
-0.712296819	0.236429235
-0.661686678	0.28950809
-0.474124902	0.078248546
-0.139914018	0.283600158
0.078068456	-0.164410519
-0.772548158	-0.16337925
-0.560464338	-0.120290971
-0.818434922	-0.241069856
-0.169377621	-0.185573208
-0.623569268	-0.186659198
-0.146936159	-0.161324106
-0.355016232	-0.31938102
-0.576085904	-0.404281711
-0.503444006	-0.106536053
-0.560890958	-0.261285501
-0.605383901	-0.322353775
-0.53532897	-0.232516238
-0.485661998	-0.287972031
-0.618807454	-0.434191679
-0.527686874	-0.208976134
-0.342750468	-0.208976134
-0.473568879	-0.316428725
-0.376011924	-0.256141657
-0.033413153	-0.348490351
-0.367689534	-0.246035239
-0.557634763	-0.256141657
-0.148019703	-0.220584944
-0.565124688	0.859833711
-0.626612664	0.764898406
-0.176359796	0.700326362
-0.758375532	0.911730583
-0.797080261	0.79177197
0.443371586	0.81932896
-0.397284198	0.881563215
0.276432012	0.776152638
-0.408020957	0.707594592
-0.613924219	0.192429645
-0.683369988	0.011168763
-0.508423468	-0.074376476
-0.052128634	-0.077739547
-0.526058522	-0.075214783
-0.415043497	-0.14819994
-0.197819205	0.020003257
-0.676527897	-0.277097518
-0.495936276	-0.189933736
-0.141397713	-0.374635705
-0.472957296	-0.383144295
-0.513672142	0.040366788
-0.77198203	0.651567322
-0.651443001	0.742771294
-0.631798978	0.643644648
-0.750893351	0.598874309
-0.760493435	0.879184104
-0.713392164	0.798995243
-0.731461175	0.816712273
-0.705085071	0.806139687
-0.71288511	0.73291236
-0.663149693	0.590281612
-0.56521054	0.610956706
-0.759271402	0.833110738
-0.725444387	0.707594592
-0.715893312	0.724916806
-0.743581984	0.704489524
-0.688348162	0.459363342
-0.689529363	0.65381341
-0.769572618	0.736873782
-0.640216128	0.810565697
-0.510310556	0.6169151
-0.76142155	0.591516085
-0.819089987	0.46087184
-0.719566459	0.615727762
-0.532515196	0.639073896
-0.449962518	0.769611212
-0.431156115	0.68233108
-0.437020721	0.507388334
-0.192718584	0.533515122
-0.389388143	0.633315117
-0.564943262	0.454816787
-0.58820353	0.525377042
-0.621145541	0.687675423
-0.868242055	0.522641632
-0.717354658	0.399288052
-0.758425462	0.227864441
-0.75675229	0.238552914
-0.656949942	0.251151306
-0.748204299	0.244882632
-0.77152074	0.147674883
-0.577366819	0.142779293
-0.515159758	0.234298595
-0.664600873	-0.102047116
0.201648863	-0.030616267
-0.554406853	0.180003203
-0.361094263	0.083090571
-0.613979853	0.110662762
-0.063566793	0.212194295
-0.407940525	0.082509104
0.045612412	0.081926853
-0.284558261	-0.009217234
-0.59846416	0.118762596
-0.315207118	0.075469658
-0.284638883	0.15810458
-0.377449466	0.116079513
-0.773838227	0.137603426
-0.898413644	0.052388163
-0.69411812	0.168239769
-0.433110853	0.017304194
-0.225852891	0.020675389
-0.203038951	0.135035324
0.310570982	0.080759987
-0.449295995	0.156637073
-0.436335342	-0.086264044
-0.504835551	-0.31203803
-0.713675835	-0.176982686
-0.743712337	-0.487745569
-0.409527272	-0.249797324
-0.69807271	-0.045235925
-0.202350443	-0.026100792
-0.22557098	-0.097604536
-0.48048897	0.640219585
-0.65950062	0.785385555
-0.785163183	0.807027286
-0.799851759	0.75824293
-0.660917426	1.000012475
-0.827328335	0.442535264
-0.812695494	0.530813692
-0.914729646	0.726924876
-0.877475057	0.503165681
-0.743748389	0.781708003
-0.694797088	0.6169151
-0.651366822	0.639073896
-0.643569679	0.651567322
-0.788814787	0.711711879
-0.764486908	0.567652383
-0.896888898	0.591516085
-0.386417931	0.70136964
-0.604232845	0.590281612
-0.147008715	0.450238295
-0.632568422	0.751519062
-0.637530546	0.660505721
-0.671709947	0.487444405
-0.782945971	0.544210362
-0.379839776	0.303088084
-0.738199779	0.014588117
-0.341961029	0.041648102
-0.770519716	0.20873373
-0.686765861	0.147225168
0.560071616	0.18462028
-0.340921563	0.268278563
-0.82373166	-0.049167164
