Input1	Input2	Output
-0.801916933	0.209525062	-0.594332898
-0.791267306	0.114914794	-0.580484514
-0.787007455	-0.158704116	-0.575068374
-0.693290735	0.001911592	-0.470542854
-0.74227902	0.243313085	-0.521991893
-0.814696486	0.156050186	-0.611565858
-0.8828541	0.08841095	-0.717457927
-0.818956337	-0.016051824	-0.617468136
-0.831735889	0.27786006	-0.635680504
-0.853035144	-0.037913569	-0.66787395
-0.729499468	0.161679343	-0.507962814
-0.735889244	-0.113632727	-0.51491986
-0.902023429	-0.123317038	-0.752672479
-0.795527157	0.061541032	-0.585970152
-0.821086262	0.186695131	-0.62045013
-0.825346113	0.247481825	-0.626477288
-0.850905218	-0.120722788	-0.664543188
-0.810436635	0.214040377	-0.605743989
-0.895633653	0.116084759	-0.740608448
-0.876464324	-0.165543	-0.706337216
-0.801916933	-0.018519612	-0.594332898
-0.755058573	0.210555492	-0.536496625
-0.810436635	-0.125267136	-0.605743989
-0.867944622	-0.147512631	-0.691946446
-0.52715655	-0.423724501	-0.844902662
-0.693290735	-0.461368877	-0.914041256
-0.599574015	-0.574523065	-0.872321951
-0.493077742	-0.527124457	-0.833129912
-0.691160809	-0.913147881	-0.912996079
-0.450479233	-0.128131619	-0.819275922
-0.597444089	-0.636222117	-0.871462868
-0.610223642	-0.645127041	-0.876670285
-0.714589989	-0.556457109	-0.924786288
-0.546325879	-0.385483338	-0.851823282
-0.369542066	0.25178679	-0.79520877
-0.6485623	-0.68137278	-0.893105672
-0.593184239	-0.288823395	-0.869755059
-0.550585729	-0.249744778	-0.853392305
-0.414270501	-0.003299465	-0.80817098
-0.605963791	-0.027433588	-0.874920252
-0.580404686	-0.366823882	-0.864712521
-0.746538871	0.42678231	-0.526772369
-0.799787007	-0.100480608	-0.591527098
-0.844515442	-0.249881151	-0.654703985
-0.829605964	-0.046915483	-0.632590685
-0.7657082	-0.020413559	-0.548971301
-0.833865815	-0.2134316	-0.638792832
-0.808306709	0.011126294	-0.602862528
-0.714589989	0.435946985	-0.492156481
-0.833865815	-0.2134316	-0.638792832
-0.776357827	-0.140289306	-0.561820787
-0.850905218	-0.230833553	-0.664543188
-0.793397231	0.088227913	-0.583218535
-0.816826411	-0.098586273	-0.614506807
-0.78913738	0.141601675	-0.577767867
-0.767838126	-0.044388708	-0.551510498
-0.750798722	0.376217101	-0.531606867
-0.701810437	0.125259078	-0.479057806
-0.727369542	0.184435656	-0.505668709
-0.825346113	0.247481825	-0.626477288
-0.776357827	0.185212409	-0.561820787
-0.784877529	-0.028304569	-0.572385817
-0.778487753	0.275036081	-0.564437673
-0.825346113	0.247481825	-0.626477288
-0.787007455	0.055351946	-0.575068374
-0.857294995	0.01501762	-0.674614441
-0.682641108	-0.623108414	-0.90886609
-0.635782748	-0.511609161	-0.887484654
-0.691160809	-0.689294505	-0.912996079
-0.646432375	-0.588828146	-0.892158439
-0.650692226	-0.770951808	-0.894057149
-0.667731629	-0.248287503	-0.901826509
-0.667731629	-0.58837016	-0.901826509
-0.623003195	-0.418946379	-0.882008626
-0.533546326	-0.136778417	-0.847184574
-0.67199148	-0.918577342	-0.903814108
-0.761448349	-0.464932521	-0.950535043
-0.616613419	-0.534750953	-0.87932268
-0.580404686	-0.675585695	-0.864712521
-0.608093717	-0.224595498	-0.875793466
-0.678381257	-0.746001384	-0.906830845
-0.378061768	0.029692724	-0.797617584
-0.588924388	-0.655797384	-0.868060874
-0.627263046	-0.530392247	-0.883818321
-0.5314164	-0.599536896	-0.84642121
-0.548455804	0.746092239	-0.852606345
-0.550585729	-0.249744778	-0.853392305
-0.559105431	-0.760807123	-0.856565558
-0.361022364	0.210406221	-0.792826948
-0.605963791	-0.540066931	-0.874920252
-0.814696486	-0.178640899	-0.611565858
-0.772097977	0.013617034	-0.556634572
-0.857294995	0.01501762	-0.674614441
-0.831735889	0.037577744	-0.635680504
-0.787007455	0.168288556	-0.575068374
-0.829605964	0.067401222	-0.632590685
-0.833865815	-0.104905674	-0.638792832
-0.838125666	-0.269825821	-0.645086352
-0.865814696	-0.227377747	-0.688423299
-0.816826411	0.12705509	-0.614506807
-0.750798722	0.147412487	-0.531606867
-0.831735889	0.037577744	-0.635680504
-0.69542066	0.297122837	-0.472655768
-0.750798722	-0.065883792	-0.531606867
-0.772097977	0.013617034	-0.556634572
-0.816826411	0.370216696	-0.614506807
-0.716719915	0.187719467	-0.494379101
-0.746538871	0.42678231	-0.526772369
-0.499467519	-0.413455866	-0.835288182
-0.576144835	-0.498083795	-0.863057935
-0.407880724	-0.366694556	-0.806270131
-0.552715655	-0.179143913	-0.854181185
-0.584664537	-0.228431182	-0.866380098
-0.593184239	-0.372362866	-0.869755059
-0.627263046	-0.829615767	-0.883818321
-0.610223642	0.03366744	-0.876670285
-0.580404686	-0.283787546	-0.864712521
-0.676251331	-0.573468845	-0.905820495
-0.755058573	-0.74601378	-0.946834359
-0.652822151	-0.215960826	-0.89501291
-0.667731629	-0.156357139	-0.901826509
-0.595314164	-0.303921448	-0.870607247
-0.582534611	-0.461556704	-0.865544673
-0.714589989	-0.871306258	-0.924786288
-0.661341853	-0.53986733	-0.898879576
-0.520766773	-0.462282516	-0.842645002
-0.640042599	-0.620980567	-0.88934184
-0.657082002	0.031712232	-0.89693744
-0.686900958	-0.408098533	-0.910921039
-0.5314164	-0.122657622	-0.84642121
-0.71884984	-0.592829833	-0.927002158
-0.516506922	-0.436940069	-0.841153115
-0.678381257	-0.154586896	-0.906830845
-0.565495208	-0.656728983	-0.858977002
-0.816826411	0.012145286	-0.614506807
-0.810436635	0.096736619	-0.605743989
-0.720979766	0.483064579	-0.49885927
-0.650692226	0.08760197	-0.430336723
-0.710330138	0.14579184	-0.487745569
-0.735889244	0.202395649	-0.51491986
-0.618743344	0.823460754	-0.40247989
-0.663471778	0.391791185	-0.442007261
-0.759318424	0.392989148	-0.541442923
-1	-0.171658102	-0.99997577
-0.701810437	0.576077786	-0.479057806
