Input1	Input3	Output
-0.546325879	-0.683489279	-0.345331493
-0.787007455	-0.694836041	-0.575068374
-0.740149095	-0.707173077	-0.519621537
-0.748668797	-0.839135611	-0.529182789
-0.870074547	-0.778800232	-0.695498912
-0.872204473	-0.894357378	-0.699081189
-0.763578275	-0.805097215	-0.54644709
-0.799787007	-0.949558461	-0.591527098
-0.797657082	-0.843192003	-0.588739596
-0.833865815	-0.930270128	-0.638792832
-0.757188498	-0.955070816	-0.538962624
-0.669861555	-0.854156211	-0.447963988
-0.703940362	-0.738281586	-0.481213272
-0.720979766	-0.773539434	-0.49885927
-0.495207668	-0.387732323	-0.833846902
-0.478168264	-0.284689139	-0.828177608
-0.427050053	-0.274390519	-0.812024456
-0.314164004	-0.544197451	-0.780183585
-0.663471778	-0.221763115	-0.899857349
-0.373801917	-0.503611793	-0.796409765
-0.348242812	-0.096754932	-0.789303517
-0.597444089	0.174189088	-0.871462868
-0.294994675	-0.073267726	-0.775220477
-0.62513312	0.861539086	-0.882911546
-0.593184239	-0.020268194	-0.869755059
-0.431309904	0.404547163	-0.813324633
-0.273695421	0.039737254	-0.769838471
-0.448349308	0.072580233	-0.818606377
-0.239616613	-0.34154211	-0.761500936
-0.522896699	0.493453722	-0.843394892
-0.610223642	-0.444402788	-0.876670285
-0.375931842	-0.17807255	-0.797012817
-0.437699681	-0.210079145	-0.815289935
-0.228966986	0.476148796	-0.7589611
-0.346112886	-0.037548717	-0.788721915
-0.392971246	-0.53591095	-0.801899831
-0.642172524	-0.311613867	-0.89027656
-0.514376997	-0.565250097	-0.840411083
-0.6485623	-0.245792108	-0.893105672
-0.772097977	-0.594779507	-0.556634572
-0.738019169	-0.8277662	-0.51726424
-0.71884984	-0.739194074	-0.496613323
-0.7657082	-0.865375202	-0.548971301
-0.559105431	-0.720766055	-0.354878746
-0.674121406	-0.756450952	-0.451981672
-0.620873269	-0.62478768	-0.404281711
-0.678381257	-0.616433463	-0.456037406
-0.708200213	-0.776083444	-0.485557042
-0.686900958	-0.781727627	-0.464265967
-0.603833866	-0.871854973	-0.390074909
-0.725239617	-0.937888759	-0.503386836
-0.838125666	-0.911188965	-0.645086352
-0.733759318	-0.896129895	-0.512588254
-0.808306709	-0.953839535	-0.602862528
-0.827476038	-0.872634855	-0.629523052
-0.623003195	-0.943117086	-0.406091141
-0.441959531	-0.658327664	-0.274421402
-0.731629393	-0.818719421	-0.510269284
-0.663471778	-0.740205389	-0.442007261
-0.757188498	-0.89369747	-0.538962624
-0.392971246	-0.15007933	-0.801899831
-0.335463259	-0.269731013	-0.785837535
-0.452609159	-0.544040529	-0.819947583
-0.341853035	1	-0.787563463
-0.597444089	-0.447352753	-0.871462868
