# This is the Oscillation data of the neural bias and output and command data 
# 1 time(s), 2 osc[1].cpgPhase, 3 osc[1].outPhase, 4 -sin(osc[1].outPhase), 5 osc[1].footBias, 6 sDataSet.forceData[1], 7 ctr[1].l_toePos[x], 8 ctr[1].l_toePos[y], 9 ctr[1].l_toePos[z], 10 ctr[1].tAngle, 11 ctr[1].cAngle, 12 ctr[1].fAngle,           13 osc[2].cpgPhase, 14 osc[2].outPhase, 15 -sin(osc[2].outPhase), 16 osc[2].footBias, 17 sDataSet.forceData[2], 18 ctr[2].l_toePos[x], 19 ctr[2].l_toePos[y], 20 ctr[2].l_toePos[z], 21 ctr[2].tAngle, 22 ctr[2].cAngle, 23 ctr[2].fAngle,           
3.6, 0.748459  0.623716  -0.584056 0 0.237857 0.110197 -0.109134 -0.12 -0.780552 -0.0517772 1.4846       3.93836  3.35215  0.209004 0 0.259342 0.0654559 0.186627 -0.10746 1.23347 -0.0177057 1.20765       
3.65, 0.845121  0.704268  -0.647476 0 0.263619 0.108956 -0.111283 -0.12 -0.795963 -0.0502794 1.47919       4.03502  3.47298  0.325355 0 0.245841 0.066264 0.185227 -0.100479 1.22724 -0.12509 1.27769       
3.7, 0.941784  0.78482  -0.706698 0 0.26019 0.107592 -0.113646 -0.12 -0.812756 -0.0484709 1.47286       4.13169  3.59381  0.436962 0 0.161171 0.0674168 0.183231 -0.0937823 1.21823 -0.227378 1.34866       
3.75, 1.03845  0.865372  -0.761336 0 0.224392 0.106113 -0.116207 -0.12 -0.830773 -0.0463073 1.46557       4.22835  3.71464  0.542196 0 0 0.0688975 0.180666 -0.0874682 1.20647 -0.324615 1.42033       
3.8, 1.13511  0.945924  -0.811038 0 0.225241 0.104529 -0.118951 -0.12 -0.849844 -0.0437396 1.45725       4.32501  3.83547  0.639524 0 0 0.0706845 0.177571 -0.0816285 1.19196 -0.416535 1.49241       
3.85, 1.23177  1.02648  -0.855479 0 0.229233 0.10285 -0.121859 -0.12 -0.869792 -0.0407153 1.44787       4.42168  3.9563  0.727526 0 0 0.0727518 0.17399 -0.0763484 1.17475 -0.502633 1.56454       
3.9, 1.32843  1.10703  -0.894373 0 0.230768 0.101087 -0.124912 -0.12 -0.890433 -0.0371796 1.4374       4.51834  4.07713  0.80492 0 0 0.0750692 0.169976 -0.0717048 1.15491 -0.582199 1.63626       
3.95, 1.4251  1.18758  -0.927467 0 0.230747 0.0992514 -0.128091 -0.12 -0.911581 -0.0330766 1.42583       4.61501  4.19796  0.870575 0 0 0.0776029 0.165588 -0.0677655 1.13254 -0.654338 1.70693       
4, 1.52176  1.26813  -0.954546 0 0.235004 0.0973554 -0.131375 -0.12 -0.93305 -0.0283513 1.41317       4.71167  4.31879  0.923536 0 0 0.080316 0.160889 -0.0645879 1.10779 -0.717991 1.77569       
4.05, 1.61842  1.34868  -0.975434 0 0.238986 0.0954111 -0.134743 -0.12 -0.954658 -0.0229516 1.39943       4.80834  4.43962  0.963029 0 0 0.0831689 0.155947 -0.0622182 1.08085 -0.77196 1.84135       
4.1, 1.71508  1.42924  -0.989997 0 0.241644 0.093431 -0.138173 -0.12 -0.97623 -0.0168313 1.38468       4.905  4.56045  0.98848 0 0 0.08612 0.150836 -0.0606912 1.05201 -0.814948 1.90234       
4.15, 1.81175  1.50979  -0.99814 0 0.246292 0.091428 -0.141642 -0.12 -0.9976 -0.00995217 1.36897       5.00166  4.68128  0.999516 0 0 0.0891263 0.145629 -0.060029 1.02159 -0.84563 1.95667       
4.2, 1.90841  1.59034  -0.999809 0 0.247657 0.0894152 -0.145128 -0.12 -1.01861 -0.00228741 1.3524       5.09833  4.80211  0.995978 0 0 0.0921439 0.140402 -0.0602413 0.990015 -0.862756 2.00195       
4.25, 2.00507  1.67089  -0.994994 0 0.253029 0.0874055 -0.148609 -0.12 -1.03913 0.00617599 1.33508       5.19499  4.92294  0.977915 0 0 0.0951288 0.135232 -0.0613251 0.957759 -0.865281 2.03558       
4.3, 2.10174  1.75145  -0.983727 0 0.255743 0.0854121 -0.152062 -0.12 -1.05902 0.0154344 1.31714       5.29165  5.04377  0.945593 0 0 0.0980376 0.130194 -0.0632644 0.92537 -0.852523 2.05508       
4.35, 2.1984  1.832  -0.96608 0 0.260452 0.0834477 -0.155464 -0.12 -1.07817 0.0254648 1.29872       5.38832  5.1646  0.899483 0 0 0.100828 0.125361 -0.066031 0.893441 -0.824305 2.05851       
4.4, 2.29506  1.91255  -0.942168 0 0.262166 0.0815253 -0.158794 -0.12 -1.09648 0.0362232 1.27999       5.48498  5.28543  0.840255 0 0 0.103459 0.120804 -0.0695847 0.862591 -0.781059 2.045       
4.45, 2.39173  1.9931  -0.912145 0 0.266512 0.0796571 -0.16203 -0.12 -1.11388 0.0476419 1.26112       5.58165  5.40626  0.768776 0 0 0.105892 0.11659 -0.0738735 0.833447 -0.723833 2.01493       
4.5, 2.48839  2.07366  -0.876207 0 0.269827 0.0778554 -0.16515 -0.12 -1.13027 0.0596287 1.2423       5.67831  5.52709  0.686086 0 0 0.108092 0.112779 -0.0788349 0.806618 -0.654207 1.96989       
4.55, 2.58505  2.15421  -0.834587 0 0.272942 0.0761319 -0.168136 -0.12 -1.14562 0.0720651 1.22372       5.77497  5.64792  0.593391 0 0 0.110027 0.109428 -0.0843965 0.782671 -0.574112 1.91227       
4.6, 2.68172  2.23476  -0.787554 0 0.275145 0.0744977 -0.170966 -0.12 -1.15986 0.0848065 1.20558       5.87164  5.76875  0.492044 0 0 0.111668 0.106585 -0.0904774 0.762114 -0.485616 1.8448       
4.65, 2.77838  2.31532  -0.735414 0 0.2789 0.0729633 -0.173624 -0.12 -1.17297 0.0976816 1.18809       5.9683  5.88958  0.383522 0 0 0.112992 0.104292 -0.0969887 0.745379 -0.39071 1.77011       
4.7, 2.87504  2.39587  -0.678504 0 0.281093 0.0715389 -0.176091 -0.12 -1.1849 0.110494 1.17145       6.06496  6.01041  0.269407 0 0 0.113979 0.102582 -0.103836 0.732816 -0.291162 1.69054       
4.75, 2.97171  2.47642  -0.617194 0 0.284704 0.0702335 -0.178352 -0.12 -1.19565 0.123022 1.15585       6.16163  6.13124  0.151364 0 0 0.114616 0.10148 -0.110918 0.724684 -0.188418 1.60798       
4.8, 3.06837  2.55697  -0.551881 0 0.284184 0.0690557 -0.180392 -0.12 -1.2052 0.135027 1.14149       6.25829  6.25207  0.0311132 0 0 0.114892 0.101002 -0.118133 0.72115 -0.0835681 1.52393       
4.85, 3.16503  2.63753  -0.48299 0 0.28764 0.0680132 -0.182198 -0.12 -1.21352 0.146253 1.12855       0.071769  0.0598075  -0.0597718 0 0 0.114859 0.101058 -0.12 0.721567 -0.0562858 1.50204       
4.9, 3.2617  2.71808  -0.410966 0 0.289576 0.0671125 -0.183758 -0.12 -1.22062 0.156438 1.11719       0.168433  0.14036  -0.1399 0 0 0.114658 0.101407 -0.12 0.724144 -0.0561247 1.50138       
4.95, 3.35836  2.79863  -0.336277 0 0.293019 0.0663597 -0.185062 -0.12 -1.2265 0.165321 1.10757       0.265096  0.220913  -0.219121 0 0 0.114296 0.102033 -0.12 0.728771 -0.055828 1.50018       
5, 3.45502  2.87919  -0.259407 0 0.290805 0.0657596 -0.186101 -0.12 -1.23114 0.17266 1.09982       0.36176  0.301466  -0.296921 0 0 0.113776 0.102934 -0.12 0.735406 -0.0553852 1.4984       
5.05, 3.55169  2.95974  -0.180854 0 0.296214 0.0653161 -0.186869 -0.12 -1.23454 0.178237 1.09404       0.458423  0.382019  -0.372795 0 0 0.113102 0.104102 -0.12 0.743989 -0.0547812 1.49601       
5.1, 3.64835  3.04029  -0.101129 0 0.283931 0.065032 -0.187361 -0.12 -1.23671 0.181881 1.09032       0.555087  0.462572  -0.446251 0 0 0.112277 0.105531 -0.12 0.75444 -0.053996 1.49295       
5.15, 3.74501  3.12084  -0.0207478 0 0.279958 0.0649092 -0.187574 -0.12 -1.23765 0.183473 1.08871       0.65175  0.543125  -0.516814 0 0.19901 0.111306 0.107212 -0.12 0.766663 -0.0530049 1.48917       
5.2, 3.84168  3.2313  0.0895851 0 0.259384 0.0650043 -0.187409 -0.114625 -1.23692 0.0953031 1.1388       0.748413  0.623678  -0.584025 0 0.23902 0.110197 0.109133 -0.12 0.780545 -0.0517779 1.4846       
5.25, 3.93834  3.35213  0.208983 0 0.248422 0.0654558 -0.186627 -0.107461 -1.23347 -0.0176857 1.20764       0.845077  0.704231  -0.647448 0 0.265349 0.108957 0.111282 -0.12 0.795955 -0.0502802 1.47919       
5.3, 4.035  3.47296  0.325333 0 0.25628 0.0662638 -0.185228 -0.10048 -1.22724 -0.12507 1.27767       0.94174  0.784784  -0.706672 0 0.262531 0.107592 0.113645 -0.12 0.812748 -0.0484718 1.47287       
5.35, 4.13167  3.59379  0.436939 0 0.169589 0.0674165 -0.183231 -0.0937837 -1.21824 -0.227357 1.34865       1.0384  0.865337  -0.761314 0 0.253717 0.106113 0.116206 -0.12 0.830765 -0.0463083 1.46557       
5.4, 4.22833  3.71461  0.542174 0 0 0.0688972 -0.180667 -0.0874696 -1.20647 -0.324594 1.42032       1.13507  0.945889  -0.811018 0 0.226286 0.104529 0.11895 -0.12 0.849836 -0.0437408 1.45725       
