Input2	Input3	Output
-0.534750953	-0.397579166	-0.87932268
-0.675585695	-0.387855499	-0.864712521
-0.224595498	-0.214253925	-0.875793466
-0.746001384	-0.580216751	-0.906830845
0.029692724	-0.415386023	-0.797617584
-0.655797384	-0.780440037	-0.868060874
-0.530392247	-0.598799189	-0.883818321
-0.599536896	-0.32092957	-0.84642121
0.746092239	-0.356947228	-0.852606345
-0.249744778	-0.274424339	-0.853392305
-0.760807123	-0.659929647	-0.856565558
0.210406221	0.012166889	-0.792826948
-0.540066931	-0.722647661	-0.874920252
-0.178640899	-0.884820858	-0.611565858
0.013617034	-0.807387121	-0.556634572
0.01501762	-0.873841443	-0.674614441
0.037577744	-0.716546282	-0.635680504
0.168288556	-0.963993528	-0.575068374
0.067401222	-0.874545336	-0.632590685
-0.104905674	-0.576901584	-0.638792832
-0.269825821	-0.756338614	-0.645086352
-0.227377747	-0.912300554	-0.688423299
0.12705509	-0.506086194	-0.614506807
0.147412487	-0.834056236	-0.531606867
0.037577744	-0.820070103	-0.635680504
0.297122837	-0.549524939	-0.472655768
-0.065883792	-0.721575076	-0.531606867
0.013617034	-0.835217237	-0.556634572
0.370216696	-0.522002176	-0.614506807
0.187719467	-0.322846065	-0.494379101
0.42678231	-0.891471487	-0.526772369
-0.413455866	-0.86279091	-0.835288182
-0.498083795	-0.874936605	-0.863057935
-0.366694556	-0.837577835	-0.806270131
-0.179143913	-0.606260531	-0.854181185
-0.228431182	-0.906953387	-0.866380098
-0.372362866	-0.752033415	-0.869755059
-0.829615767	-0.828241599	-0.883818321
0.03366744	-0.597437792	-0.876670285
-0.283787546	-0.718438718	-0.864712521
-0.573468845	-0.804480326	-0.905820495
-0.74601378	-0.746872864	-0.946834359
-0.215960826	-0.848119661	-0.89501291
-0.156357139	-0.721539804	-0.901826509
-0.303921448	-0.683383145	-0.870607247
-0.461556704	-0.497806226	-0.865544673
-0.871306258	-0.877447112	-0.924786288
-0.53986733	-0.602666185	-0.898879576
-0.462282516	-0.71456999	-0.842645002
-0.620980567	-0.526919006	-0.88934184
0.031712232	-0.336256002	-0.89693744
-0.408098533	-0.704828006	-0.910921039
-0.122657622	-0.449803639	-0.84642121
-0.592829833	-0.852297571	-0.927002158
-0.436940069	0.380064509	-0.841153115
-0.154586896	-0.434877716	-0.906830845
-0.656728983	-0.104349399	-0.858977002
0.012145286	-0.727141343	-0.614506807
0.096736619	-0.703616423	-0.605743989
0.483064579	-0.55982959	-0.49885927
0.08760197	-0.365335051	-0.430336723
0.14579184	-0.484164984	-0.487745569
0.202395649	-0.292718561	-0.51491986
0.823460754	-0.838131147	-0.40247989
0.391791185	-0.786480097	-0.442007261
0.392989148	-0.931259937	-0.541442923
-0.171658102	-0.946729685	-0.99997577
0.576077786	-0.779110041	-0.479057806
0.185212409	-0.750819168	-0.561820787
0.189298469	-0.817143262	-0.430336723
-0.043367093	-0.068553316	-0.496613323
-0.072446046	-0.843131486	-0.623453082
0.15313084	-0.70670289	-0.600000363
-0.077865954	-0.790759393	-0.543937688
0.145122861	-0.723487452	-0.466348055
0.233609675	-0.683489279	-0.345331493
0.28540771	-0.694836041	-0.575068374
0.382876643	-0.707173077	-0.519621537
0.171387637	-0.839135611	-0.529182789
-0.290532473	-0.778800232	-0.695498912
0.143149514	-0.894357378	-0.699081189
-0.394676008	-0.805097215	-0.54644709
0.12083886	-0.949558461	-0.591527098
0.03485415	-0.843192003	-0.588739596
0.124746954	-0.930270128	-0.638792832
-0.031155687	-0.955070816	-0.538962624
-0.080067245	-0.854156211	-0.447963988
0.320786215	-0.738281586	-0.481213272
0.252704597	-0.773539434	-0.49885927
-0.310227838	-0.387732323	-0.833846902
-0.443854864	-0.284689139	-0.828177608
-0.238285624	-0.274390519	-0.812024456
0.11541241	-0.544197451	-0.780183585
-0.787059153	-0.221763115	-0.899857349
0.139032285	-0.503611793	-0.796409765
-0.576219081	-0.096754932	-0.789303517
-0.636222117	0.174189088	-0.871462868
-0.337756198	-0.073267726	-0.775220477
-0.434390176	0.861539086	-0.882911546
-0.53216068	-0.020268194	-0.869755059
-0.414051973	0.404547163	-0.813324633
-0.012546713	0.039737254	-0.769838471
-0.430171941	0.072580233	-0.818606377
-0.165392553	-0.34154211	-0.761500936
-0.066174441	0.493453722	-0.843394892
-0.568940772	-0.444402788	-0.876670285
