Input3	Output
-0.77733908	-0.999983236
0.082890852	0.999945401
-0.47443187	-0.736088971
-0.417999863	0.256968859
0.030532968	0.031759731
1.000038787	0.361959982
-0.530302447	-0.306004528
-0.745692926	-0.15463
-0.441464667	-0.288991012
-0.110010102	-0.260952032
-0.078306881	-0.037737879
0.432437777	-0.323817531
-0.65084922	-0.118221453
-0.642367622	-0.740766217
-0.999983375	-0.707434319
0.94417058	-0.29175597
0.918302602	-0.27768314
0.482466918	-0.076092442
0.152012586	-0.122808422
-0.512426503	0.03824776
-0.440209962	0.047734541
-0.652753235	0.007564058
-0.357117224	-0.045618282
-0.639705373	-0.05837094
-0.77733908	-0.999983236
0.082890852	0.999945401
-0.47443187	-0.736088971
-0.417999863	0.256968859
0.030532968	0.031759731
1.000038787	0.361959982
-0.530302447	-0.306004528
-0.745692926	-0.15463
-0.441464667	-0.288991012
-0.110010102	-0.260952032
-0.078306881	-0.037737879
0.432437777	-0.323817531
-0.65084922	-0.118221453
-0.642367622	-0.740766217
-0.999983375	-0.707434319
0.94417058	-0.29175597
0.918302602	-0.27768314
0.482466918	-0.076092442
0.152012586	-0.122808422
-0.512426503	0.03824776
-0.440209962	0.047734541
-0.652753235	0.007564058
-0.357117224	-0.045618282
-0.639705373	-0.05837094
-0.77733908	-0.999983236
0.082890852	0.999945401
-0.47443187	-0.736088971
-0.417999863	0.256968859
0.030532968	0.031759731
1.000038787	0.361959982
-0.530302447	-0.306004528
-0.745692926	-0.15463
-0.441464667	-0.288991012
-0.110010102	-0.260952032
-0.078306881	-0.037737879
0.432437777	-0.323817531
-0.65084922	-0.118221453
-0.642367622	-0.740766217
-0.999983375	-0.707434319
0.94417058	-0.29175597
0.918302602	-0.27768314
0.482466918	-0.076092442
0.152012586	-0.122808422
-0.512426503	0.03824776
-0.440209962	0.047734541
-0.652753235	0.007564058
-0.357117224	-0.045618282
-0.639705373	-0.05837094
-0.77733908	-0.999983236
0.082890852	0.999945401
-0.47443187	-0.736088971
-0.417999863	0.256968859
0.030532968	0.031759731
1.000038787	0.361959982
-0.530302447	-0.306004528
-0.745692926	-0.15463
-0.441464667	-0.288991012
-0.110010102	-0.260952032
-0.078306881	-0.037737879
0.432437777	-0.323817531
-0.65084922	-0.118221453
-0.642367622	-0.740766217
-0.999983375	-0.707434319
0.94417058	-0.29175597
0.918302602	-0.27768314
0.482466918	-0.076092442
0.152012586	-0.122808422
-0.512426503	0.03824776
-0.440209962	0.047734541
-0.652753235	0.007564058
-0.357117224	-0.045618282
-0.639705373	-0.05837094
-0.77733908	-0.999983236
0.082890852	0.999945401
-0.47443187	-0.736088971
-0.417999863	0.256968859
0.030532968	0.031759731
1.000038787	0.361959982
-0.530302447	-0.306004528
-0.745692926	-0.15463
-0.441464667	-0.288991012
-0.110010102	-0.260952032
-0.078306881	-0.037737879
0.432437777	-0.323817531
-0.65084922	-0.118221453
-0.642367622	-0.740766217
-0.999983375	-0.707434319
0.94417058	-0.29175597
0.918302602	-0.27768314
0.482466918	-0.076092442
0.152012586	-0.122808422
-0.512426503	0.03824776
-0.440209962	0.047734541
-0.652753235	0.007564058
-0.357117224	-0.045618282
-0.639705373	-0.05837094
-0.77733908	-0.999983236
0.082890852	0.999945401
-0.47443187	-0.736088971
-0.417999863	0.256968859
0.030532968	0.031759731
1.000038787	0.361959982
-0.530302447	-0.306004528
-0.745692926	-0.15463
-0.441464667	-0.288991012
-0.110010102	-0.260952032
-0.078306881	-0.037737879
0.432437777	-0.323817531
-0.65084922	-0.118221453
-0.642367622	-0.740766217
-0.999983375	-0.707434319
0.94417058	-0.29175597
0.918302602	-0.27768314
0.482466918	-0.076092442
0.152012586	-0.122808422
-0.512426503	0.03824776
-0.440209962	0.047734541
-0.652753235	0.007564058
-0.357117224	-0.045618282
-0.639705373	-0.05837094
-0.77733908	-0.999983236
0.082890852	0.999945401
-0.47443187	-0.736088971
-0.417999863	0.256968859
0.030532968	0.031759731
1.000038787	0.361959982
-0.530302447	-0.306004528
-0.745692926	-0.15463
-0.441464667	-0.288991012
-0.110010102	-0.260952032
-0.078306881	-0.037737879
0.432437777	-0.323817531
-0.65084922	-0.118221453
-0.642367622	-0.740766217
-0.999983375	-0.707434319
0.94417058	-0.29175597
0.918302602	-0.27768314
0.482466918	-0.076092442
0.152012586	-0.122808422
-0.512426503	0.03824776
-0.440209962	0.047734541
-0.652753235	0.007564058
-0.357117224	-0.045618282
-0.639705373	-0.05837094
-0.77733908	-0.999983236
0.082890852	0.999945401
-0.47443187	-0.736088971
-0.417999863	0.256968859
0.030532968	0.031759731
1.000038787	0.361959982
-0.530302447	-0.306004528
-0.745692926	-0.15463
-0.441464667	-0.288991012
-0.110010102	-0.260952032
-0.078306881	-0.037737879
0.432437777	-0.323817531
-0.65084922	-0.118221453
-0.642367622	-0.740766217
-0.999983375	-0.707434319
0.94417058	-0.29175597
0.918302602	-0.27768314
0.482466918	-0.076092442
0.152012586	-0.122808422
-0.512426503	0.03824776
-0.440209962	0.047734541
-0.652753235	0.007564058
-0.357117224	-0.045618282
-0.639705373	-0.05837094
-0.77733908	-0.999983236
0.082890852	0.999945401
-0.47443187	-0.736088971
-0.417999863	0.256968859
0.030532968	0.031759731
1.000038787	0.361959982
-0.530302447	-0.306004528
-0.745692926	-0.15463
-0.441464667	-0.288991012
-0.110010102	-0.260952032
-0.078306881	-0.037737879
0.432437777	-0.323817531
