# This is the data of the neural bias and output 
# time(s),  outPutH1[1], outPutH2[1], bias[1], footContact[1], outPutH1[2], outPutH2[2], bias[2], footContact[2]
12.2, 0.944125  0.464159  0  0  -0.682279  0.899649  0  0.158864
12.3, 0.934519  0.0446368  0  0  -0.354897  0.944255  0  0
12.4, 0.884336  -0.505885  0  0  0.133068  0.924513  0  0
12.5, 0.739917  -0.92485  -0.3  0.187104  0.679458  0.851243  0  0
12.6, 0.428105  -0.972228  -0.3  0.192414  0.917165  0.655533  0  0
12.7, -0.0266121  -0.963264  -0.3  0.193951  0.945042  0.327839  0  0
12.8, -0.591479  -0.931396  -0.3  0.196865  0.921981  -0.152433  0  0
12.9, -0.900999  -0.845643  -0.3  0.213604  0.84656  -0.812545  -0.3  0.202618
13, -0.953444  -0.542023  0  0.218095  0.596796  -0.966793  -0.3  0.206567
13.1, -0.940121  -0.130526  0  0.21014  0.218113  -0.970188  -0.3  0.212275
